Name,cbo,lcom,totalFieldsQty,privateFieldsQty,comparisonsQty,stringLiteralsQty,assignmentsQty,variablesQty,modifiers,NOF,FANIN,FANOUT,is_Mega
E:\githubdocu\MASPro\mall-swarm-master\mall-swarm-master\mall-admin,1019,556,262,262,40,900,439,701,162,266,3,3,1
E:\githubdocu\MASPro\mall-swarm-master\mall-swarm-master\mall-auth,93,47,26,19,3,58,22,40,14,7,2,2,0
E:\githubdocu\MASPro\mall-swarm-master\mall-swarm-master\mall-common,75,728,45,36,7,26,71,90,1039,45,5,5,0
E:\githubdocu\MASPro\mall-swarm-master\mall-swarm-master\mall-demo,110,123,18,18,5,85,31,35,18,18,1,1,0
E:\githubdocu\MASPro\mall-swarm-master\mall-swarm-master\mall-gateway,100,7,15,15,1,28,42,56,13,15,1,1,0
E:\githubdocu\MASPro\mall-swarm-master\mall-swarm-master\mall-mbg,830,841698,1661,1357,395,17361,2514,1980,80334,2345,228,228,1
E:\githubdocu\MASPro\mall-swarm-master\mall-swarm-master\mall-monitor,13,0,1,1,0,8,2,2,3,1,1,1,0
E:\githubdocu\MASPro\mall-swarm-master\mall-swarm-master\mall-portal,572,1343,190,190,53,388,426,543,87,194,3,3,1
E:\githubdocu\MASPro\mall-swarm-master\mall-swarm-master\mall-search,75,684,38,38,9,87,95,100,21,41,4,4,0
E:\githubdocu\MASPro\micro-service-blog-project-master\blog-cloud-admin-platform,3,0,0,0,0,0,0,0,1,0,1,1,0
E:\githubdocu\MASPro\micro-service-blog-project-master\blog-cloud-auth,75,43,14,14,2,39,20,34,7,14,5,5,0
E:\githubdocu\MASPro\micro-service-blog-project-master\blog-cloud-common\blog-cloud-common-utils,28,54,25,5,4,31,56,47,24,25,4,4,0
E:\githubdocu\MASPro\micro-service-blog-project-master\blog-cloud-config,4,0,0,0,0,0,0,0,1,0,1,1,0
E:\githubdocu\MASPro\micro-service-blog-project-master\blog-cloud-eurake-server,4,0,0,0,0,0,0,0,1,0,1,1,0
E:\githubdocu\MASPro\micro-service-blog-project-master\blog-cloud-gateway,89,18,8,6,2,31,34,53,11,8,5,5,0
E:\githubdocu\MASPro\micro-service-blog-project-master\blog-cloud-mybatis-generate,10,3,11,11,0,48,35,26,1,11,1,1,0
E:\githubdocu\MASPro\micro-service-blog-project-master\blog-cloud-provider\blog-cloud-provider-oauth,232,3,182,182,3,154,32,192,62,182,26,26,1
E:\githubdocu\MASPro\micro-service-blog-project-master\blog-cloud-provider-api\blog-cloud-provider-oauth-api,30,0,61,61,0,45,4,61,8,61,0,0,0
E:\githubdocu\MASPro\microservice-master\microservice-demo\microservice-demo-catalog,86,96,19,19,2,66,42,41,19,19,13,13,0
E:\githubdocu\MASPro\microservice-master\microservice-demo\microservice-demo-customer,84,212,23,22,1,85,60,51,17,23,12,12,0
E:\githubdocu\MASPro\microservice-master\microservice-demo\microservice-demo-eureka-server,11,0,2,2,0,3,4,4,2,2,1,1,0
E:\githubdocu\MASPro\microservice-master\microservice-demo\microservice-demo-order,143,266,44,42,8,98,88,82,29,44,29,29,0
E:\githubdocu\MASPro\microservice-master\microservice-demo\microservice-demo-turbine-server,5,0,0,0,0,0,0,0,1,0,1,1,0
E:\githubdocu\MASPro\microservice-master\microservice-demo\microservice-demo-zuul-server,4,0,0,0,0,0,0,0,1,0,0,0,0
E:\githubdocu\MASPro\microservices-event-sourcing-master\account-service,85,268,39,39,2,59,60,51,22,39,15,15,0
E:\githubdocu\MASPro\microservices-event-sourcing-master\catalog-service,32,59,16,16,12,25,25,23,8,16,8,8,0
E:\githubdocu\MASPro\microservices-event-sourcing-master\config-service,3,0,0,0,0,0,0,0,1,0,1,1,0
E:\githubdocu\MASPro\microservices-event-sourcing-master\discovery-service,3,0,0,0,0,0,0,0,1,0,1,1,0
E:\githubdocu\MASPro\microservices-event-sourcing-master\edge-service,6,0,0,0,0,0,0,0,1,0,1,1,0
E:\githubdocu\MASPro\microservices-event-sourcing-master\hystrix-dashboard,3,0,0,0,0,0,0,0,1,0,1,1,0
E:\githubdocu\MASPro\microservices-event-sourcing-master\inventory-service,104,276,45,44,1,114,77,70,27,47,25,25,0
E:\githubdocu\MASPro\microservices-event-sourcing-master\online-store-app,8,1,0,0,0,7,0,0,1,0,1,1,0
E:\githubdocu\MASPro\microservices-event-sourcing-master\order-service,79,352,54,54,9,77,74,74,27,56,9,9,0
E:\githubdocu\MASPro\microservices-event-sourcing-master\payment-service,2,0,0,0,0,0,0,0,1,0,1,1,0
E:\githubdocu\MASPro\microservices-event-sourcing-master\shopping-cart-service,92,312,62,61,9,110,108,94,29,66,18,18,0
E:\githubdocu\MASPro\microservices-event-sourcing-master\user-service,95,36,15,15,2,75,26,34,34,15,8,8,0
E:\githubdocu\MASPro\MSoft-master\msoft-admin,241,95,51,42,19,319,191,192,108,76,23,23,1
E:\githubdocu\MASPro\MSoft-master\msoft-auth,73,7,10,7,0,36,25,37,13,10,6,6,0
E:\githubdocu\MASPro\MSoft-master\msoft-blog,25,0,1,1,0,8,0,1,9,1,2,2,0
E:\githubdocu\MASPro\MSoft-master\msoft-core,675,1184,298,261,76,278,408,583,3306,358,155,155,1
E:\githubdocu\MASPro\MSoft-master\msoft-es,11,0,1,1,0,2,1,2,2,1,1,1,0
E:\githubdocu\MASPro\MSoft-master\msoft-gateway,42,22,2,1,0,13,13,23,15,3,3,3,0
E:\githubdocu\MASPro\MSoft-master\msoft-member,25,0,1,0,0,8,8,14,7,1,2,2,0
E:\githubdocu\MASPro\open-capacity-platform-master\api-gateway,66,19,7,5,1,27,23,24,20,7,2,2,0
E:\githubdocu\MASPro\open-capacity-platform-master\business-center\back-center,1391,7183,695,499,803,3409,2457,2196,5501,712,132,132,1
